"","Var1","Freq"
"362","2016-06-06",11124
"363","2016-06-07",8714
"364","2016-06-08",7712
"365","2016-06-09",238
"366","2016-06-10",6632
"367","2016-06-11",223
"368","2016-06-12",4745
"369","2016-06-13",2135
"370","2016-06-14",2387
"371","2016-06-15",2414
"372","2016-06-16",7290
"373","2016-06-17",3633
"374","2016-06-19",5391
"375","2016-06-20",1986
"376","2016-06-21",2958
"377","2016-06-22",709
"378","2016-06-23",1999
"379","2016-06-24",1664
"380","2016-06-25",116
"381","2016-06-26",7839
"382","2016-06-27",2389
"383","2016-06-28",2715
"384","2016-06-29",980
"385","2016-06-30",1436
"386","2016-07-01",1746
"387","2016-07-02",41
"388","2016-07-03",2785
"389","2016-07-04",113
"390","2016-07-05",1453
"391","2016-07-06",703
"392","2016-07-07",1569
"393","2016-07-08",1228
"394","2016-07-09",36
"395","2016-07-10",712
"396","2016-07-11",446
"397","2016-07-12",1920
"398","2016-07-13",64
"399","2016-07-17",19
"400","2016-07-18",162
"401","2016-07-20",1
"402","2016-07-21",359
"403","2016-07-22",173
"404","2016-07-23",2
"405","2016-07-25",1
"406","2016-07-26",508
"407","2016-07-27",984
"408","2016-07-28",336
"409","2016-07-29",188
"410","2016-07-30",393
"411","2016-07-31",1392
"412","2016-08-01",1195
"413","2016-08-02",312
"414","2016-08-03",689
"415","2016-08-04",119
"416","2016-08-05",886
"417","2016-08-06",183
"418","2016-08-07",796
"419","2016-08-08",896
"420","2016-08-09",1101
"421","2016-08-10",162
"422","2016-08-11",603
"423","2016-08-12",468
"424","2016-08-13",4
"425","2016-08-14",476
"426","2016-08-15",548
"427","2016-08-16",2377
"428","2016-08-17",999
"429","2016-08-19",779
"430","2016-08-20",182
"431","2016-08-21",802
"432","2016-08-22",1241
"433","2016-08-23",863
"434","2016-08-24",3059
"435","2016-08-25",1492
"436","2016-08-26",939
"437","2016-08-27",17
"438","2016-08-28",632
"439","2016-08-29",427
"440","2016-08-30",165
"441","2016-08-31",869
"442","2016-09-01",560
"443","2016-09-02",520
"444","2016-09-04",3
"445","2016-09-05",1155
"446","2016-09-06",4743
"447","2016-09-07",1268
"448","2016-09-08",4461
"449","2016-09-09",1670
"450","2016-09-10",7
"451","2016-09-11",1358
"452","2016-09-12",1416
"453","2016-09-13",892
"454","2016-09-14",304
"455","2016-09-15",12
"456","2016-09-16",2270
"457","2016-09-18",1094
"458","2016-09-19",1336
"459","2016-09-20",35
"460","2016-09-21",2117
"461","2016-09-22",1489
"462","2016-09-23",2506
"463","2016-09-25",3768
"464","2016-09-26",1260
"465","2016-09-27",152
"466","2016-09-28",273
"467","2016-09-29",2869
"468","2016-09-30",1562
"469","2016-10-02",1330
"470","2016-10-03",1
"471","2016-10-04",2913
"472","2016-10-05",3077
"473","2016-10-06",123
"474","2016-10-07",6
"475","2016-10-08",272
"476","2016-10-09",2
"477","2016-10-12",1
"478","2016-10-16",863
"479","2016-10-17",1823
"480","2016-10-18",772
"481","2016-10-19",1564
"482","2016-10-20",257
"483","2016-10-21",1608
"484","2016-10-22",21
"485","2016-10-23",3816
"486","2016-10-24",1758
"487","2016-10-25",2372
"488","2016-10-26",2698
"489","2016-10-27",2680
"490","2016-10-28",2109
"491","2016-10-30",3
"492","2016-11-02",1996
"493","2016-11-03",1678
"494","2016-11-04",2460
"495","2016-11-05",10
"496","2016-11-06",3714
"497","2016-11-07",3192
"498","2016-11-08",1925
"499","2016-11-09",1316
"500","2016-11-10",1489
"501","2016-11-11",3569
"502","2016-11-13",208
"503","2016-11-14",314
"504","2016-11-15",1540
"505","2016-11-16",139
"506","2016-11-17",196
"507","2016-11-18",564
"508","2016-11-19",2
"509","2016-11-20",1719
"510","2016-11-21",2344
"511","2016-11-22",1239
"512","2016-11-23",441
"513","2016-11-24",95
"514","2016-11-25",112
"515","2016-11-27",659
"516","2016-11-28",1942
"517","2016-11-29",3655
"518","2016-11-30",2903
"519","2016-12-01",1803
"520","2016-12-02",969
"521","2016-12-03",4
"522","2016-12-04",3987
"523","2016-12-05",2090
"524","2016-12-06",1930
"525","2016-12-07",3106
"526","2016-12-08",3699
"527","2016-12-09",1794
"528","2016-12-10",1
"529","2016-12-11",17
"530","2016-12-12",9
"531","2016-12-13",150
"532","2016-12-14",31
"533","2016-12-15",203
"534","2016-12-16",5
"535","2016-12-18",105
"536","2016-12-19",3
"537","2016-12-20",1551
"538","2016-12-21",185
"539","2016-12-22",72
"540","2016-12-23",1386
"541","2016-12-24",6
"542","2016-12-25",144
"543","2016-12-26",1
"544","2016-12-27",707
"545","2016-12-28",1062
"546","2016-12-29",464
"547","2016-12-30",563
"548","2016-12-31",1
"549","2017-01-01",2
"550","2017-01-02",42
"551","2017-01-03",222
"552","2017-01-04",44
"553","2017-01-05",212
"554","2017-01-06",787
"555","2017-01-07",3
"556","2017-01-08",47
"557","2017-01-09",1344
"558","2017-01-10",624
"559","2017-01-11",332
"560","2017-01-12",647
"561","2017-01-13",466
"562","2017-01-14",7
"563","2017-01-15",2115
"564","2017-01-16",302
"565","2017-01-17",4
"566","2017-01-19",1800
"567","2017-01-20",99
"568","2017-01-21",1
"569","2017-01-22",210
"570","2017-01-23",768
"571","2017-01-24",761
"572","2017-01-25",201
"573","2017-01-26",1451
"574","2017-01-27",964
"575","2017-01-28",1
"576","2017-01-29",4783
"577","2017-01-30",271
"578","2017-01-31",228
"579","2017-02-01",2357
"580","2017-02-02",1394
"581","2017-02-03",169
"582","2017-02-04",11
"583","2017-02-05",1223
"584","2017-02-06",8
"585","2017-02-07",2
"586","2017-02-08",430
"587","2017-02-09",65
"588","2017-02-10",4
"589","2017-02-12",133
"590","2017-02-13",222
"591","2017-02-14",894
"592","2017-02-15",1
"593","2017-02-16",11
"594","2017-02-17",104
"595","2017-02-18",12
"596","2017-02-19",2
"597","2017-02-20",91
"598","2017-02-21",18
"599","2017-02-22",83
"600","2017-02-23",945
"601","2017-02-24",3
"602","2017-02-25",11
"603","2017-02-26",1232
"604","2017-02-27",579
"605","2017-02-28",2685
"606","2017-03-01",1351
"607","2017-03-02",103
"608","2017-03-03",1932
"609","2017-03-04",68
"610","2017-03-05",9
"611","2017-03-06",86
"612","2017-03-07",387
"613","2017-03-08",4
"614","2017-03-09",21
"615","2017-03-10",67
"616","2017-03-11",112
"617","2017-03-12",31
"618","2017-03-13",2
"619","2017-03-14",4
"620","2017-03-15",580
"621","2017-03-16",2
"622","2017-03-17",160
"623","2017-03-18",1
"624","2017-03-19",344
"625","2017-03-22",120
"626","2017-03-23",267
"627","2017-03-24",93
"628","2017-03-27",6
"629","2017-03-28",66
"630","2017-03-29",4377
"631","2017-03-30",6024
"632","2017-03-31",5530
"633","2017-04-01",5
"634","2017-04-02",634
"635","2017-04-03",3863
"636","2017-04-04",6362
"637","2017-04-05",3881
"638","2017-04-06",10414
"639","2017-04-07",25836
"640","2017-04-08",5356
"641","2017-04-09",8622
"642","2017-04-10",8982
"643","2017-04-11",3671
"644","2017-04-12",989
"645","2017-04-13",1950
"646","2017-04-14",72
"647","2017-04-15",10
"648","2017-04-16",4092
"649","2017-04-17",6604
"650","2017-04-18",4250
"651","2017-04-19",2146
"652","2017-04-20",4324
"653","2017-04-21",2458
"654","2017-04-22",4
"655","2017-04-23",1061
"656","2017-04-24",505
"657","2017-04-25",1296
"658","2017-04-26",1345
"659","2017-04-27",4481
"660","2017-04-28",7703
"661","2017-04-29",8
"662","2017-04-30",5113
"663","2017-05-01",7425
"664","2017-05-02",3643
"665","2017-05-03",2471
"666","2017-05-04",2789
"667","2017-05-05",5585
"668","2017-05-06",359
"669","2017-05-07",6951
"670","2017-05-08",1051
"671","2017-05-09",4091
"672","2017-05-10",1677
"673","2017-05-11",7
"674","2017-05-13",15
"675","2017-05-14",1
"676","2017-05-15",283
"677","2017-05-16",101
"678","2017-05-17",1
"679","2017-05-18",3
"680","2017-05-19",4
"681","2017-05-20",1
"682","2017-05-21",25
"683","2017-05-22",14
"684","2017-05-23",2
"685","2017-05-24",4
"686","2017-05-26",112
"687","2017-05-27",1
"688","2017-05-28",10
"689","2017-05-29",3
"690","2017-05-30",3
"691","2017-05-31",12
"692","2017-06-01",3
"693","2017-06-02",41
"694","2017-06-03",1
"695","2017-06-05",25
"696","2017-06-06",8
"697","2017-06-07",7
"698","2017-06-08",15
"699","2017-06-09",55
"700","2017-06-10",13
"701","2017-06-13",509
"702","2017-06-14",1
"703","2017-06-15",3055
"704","2017-06-16",8
"705","2017-06-18",1
"706","2017-06-19",3
"707","2017-06-20",29
"708","2017-06-22",50
"709","2017-06-23",10
"710","2017-06-24",37
"711","2017-06-25",145
"712","2017-06-26",503
"713","2017-06-29",34
"714","2017-06-30",10
"715","2017-07-01",1
"716","2017-07-02",1
"717","2017-07-03",1144
"718","2017-07-04",651
"719","2017-07-05",746
"720","2017-07-06",2
"721","2017-07-07",10
"722","2017-07-08",1
"723","2017-07-09",32
"724","2017-07-10",131
"725","2017-07-11",7
"726","2017-07-12",14
"727","2017-07-13",8
"728","2017-07-14",35
"729","2017-07-17",2
"730","2017-07-18",222
"731","2017-07-19",32
"732","2017-07-20",515
"733","2017-07-21",72
"734","2017-07-22",20
"735","2017-07-23",75
"736","2017-07-24",16
"737","2017-07-25",14
"738","2017-07-26",93
"739","2017-07-27",1
"740","2017-07-28",2
"741","2017-07-29",6
"742","2017-07-30",19
"743","2017-07-31",2
"744","2017-08-02",1
"745","2017-08-03",5
"746","2017-08-04",1
"747","2017-08-06",82
"748","2017-08-08",138
"749","2017-08-09",346
"750","2017-08-10",538
"751","2017-08-11",1114
"752","2017-08-12",9
"753","2017-08-13",746
"754","2017-08-14",39
"755","2017-08-15",28
"756","2017-08-16",9
"757","2017-08-17",64
"758","2017-08-18",40
"759","2017-08-19",123
"760","2017-08-20",4
"761","2017-08-21",247
"762","2017-08-22",681
"763","2017-08-23",286
"764","2017-08-24",5
"765","2017-08-26",1
"766","2017-08-27",81
"767","2017-08-28",10
"768","2017-08-29",51
"769","2017-08-30",95
"770","2017-08-31",57
"771","2017-09-01",10
"772","2017-09-02",69
"773","2017-09-04",43
"774","2017-09-05",35
"775","2017-09-06",102
"776","2017-09-07",321
"777","2017-09-08",28
"778","2017-09-09",18
"779","2017-09-10",203
"780","2017-09-11",731
"781","2017-09-12",242
"782","2017-09-13",276
"783","2017-09-14",671
"784","2017-09-15",1
"785","2017-09-16",1
"786","2017-09-18",3
"787","2017-09-19",17
"788","2017-09-20",10
"789","2017-09-21",1
"790","2017-09-22",114
"791","2017-09-23",6
"792","2017-09-24",6
"793","2017-09-25",7
"794","2017-09-26",4
"795","2017-09-27",7
"796","2017-09-28",7
"797","2017-09-29",5
"798","2017-09-30",58
"799","2017-10-01",23
"800","2017-10-03",3
"801","2017-10-04",1
"802","2017-10-05",2
"803","2017-10-06",2
"804","2017-10-07",10
"805","2017-10-08",1
"806","2017-10-09",197
"807","2017-10-10",92
"808","2017-10-11",14
"809","2017-10-12",67
"810","2017-10-13",2
"811","2017-10-14",20
"812","2017-10-15",3
"813","2017-10-16",27
"814","2017-10-17",98
"815","2017-10-18",19
"816","2017-10-21",4
"817","2017-10-22",4
"818","2017-10-24",1
"819","2017-10-25",77
"820","2017-10-26",28
"821","2017-10-27",23
"822","2017-10-28",4
"823","2017-10-29",9
"824","2017-10-31",181
"825","2017-11-01",43
"826","2017-11-02",4
"827","2017-11-03",31
"828","2017-11-04",6
"829","2017-11-05",34
"830","2017-11-06",49
"831","2017-11-07",108
"832","2017-11-08",64
"833","2017-11-09",7
"834","2017-11-10",2
"835","2017-11-11",2
"836","2017-11-12",557
"837","2017-11-13",89
"838","2017-11-14",3323
"839","2017-11-15",3594
"840","2017-11-16",6603
"841","2017-11-17",855
"842","2017-11-18",351
"843","2017-11-19",5633
"844","2017-11-20",2154
"845","2017-11-21",87
"846","2017-11-22",1957
"847","2017-11-23",4
"848","2017-11-24",5
"849","2017-11-25",3
"850","2017-11-26",1319
"851","2017-11-27",3269
"852","2017-11-28",711
"853","2017-11-29",600
"854","2017-11-30",879
"855","2017-12-01",6061
"856","2017-12-02",3
"857","2017-12-03",3508
"858","2017-12-04",4466
"859","2017-12-05",762
"860","2017-12-06",877
"861","2017-12-07",4
"862","2017-12-08",2954
"863","2017-12-09",9
"864","2017-12-10",72
"865","2017-12-11",177
"866","2017-12-12",104
"867","2017-12-13",7
"868","2017-12-14",10
"869","2017-12-15",1
"870","2017-12-16",163
"871","2017-12-17",4
"872","2017-12-18",65
"873","2017-12-19",3
"874","2017-12-20",2855
"875","2017-12-21",7
"876","2017-12-22",1282
"877","2017-12-23",9
"878","2017-12-24",1979
"879","2017-12-25",226
"880","2017-12-26",6613
"881","2017-12-27",446
"882","2017-12-28",5
"883","2017-12-29",207
"884","2017-12-30",2
"885","2018-01-02",1944
"886","2018-01-03",397
"887","2018-01-04",380
"888","2018-01-05",851
"889","2018-01-06",4
"890","2018-01-07",1
"891","2018-01-08",74
"892","2018-01-09",2
"893","2018-01-10",3
"894","2018-01-11",41
"895","2018-01-12",6
"896","2018-01-13",6
"897","2018-01-14",5
"898","2018-01-15",2
"899","2018-01-16",1
"900","2018-01-17",31
"901","2018-01-18",2
"902","2018-01-20",6
"903","2018-01-21",75
"904","2018-01-22",2
"905","2018-01-23",108
"906","2018-01-24",1
"907","2018-01-25",1
"908","2018-01-26",6
"909","2018-01-27",7
"910","2018-01-28",1
"911","2018-01-29",10
"912","2018-01-30",4
"913","2018-01-31",1
"914","2018-02-01",2
"915","2018-02-03",5
"916","2018-02-04",1
"917","2018-02-05",10
"918","2018-02-06",3
"919","2018-02-07",1
"920","2018-02-08",5
"921","2018-02-09",223
"922","2018-02-10",2
"923","2018-02-11",1
"924","2018-02-12",866
"925","2018-02-13",3
"926","2018-02-14",1578
"927","2018-02-16",18
"928","2018-02-17",3
"929","2018-02-19",1
"930","2018-02-20",9
"931","2018-02-21",280
"932","2018-02-22",40
"933","2018-02-23",175
"934","2018-02-24",84
"935","2018-02-25",254
